name_with_owner,stargazer_count,created_at,repository_age_days,merged_pull_requests,release_count,pushed_at,days_since_last_update,primary_language,total_issues,closed_issues,closed_issues_ratio
NginxProxyManager/nginx-proxy-manager,33876,2017-12-20T23:01:16Z,3160,740,88,2026-08-12T03:02:03Z,4,TypeScript,3317,2566,0.7735905939101598
carbon-language/carbon-lang,33857,2020-04-27T21:45:16Z,2301,5659,762,2026-08-16T02:38:17Z,0,C++,868,659,0.7592165898617511
lib-pku/libpku,33837,2018-11-22T13:33:06Z,2823,22,0,2022-01-05T04:09:27Z,1684,TeX,43,32,0.7441860465116279
TabbyML/tabby,33824,2023-03-16T09:18:01Z,1248,3002,249,2026-06-30T20:38:02Z,47,Rust,1013,756,0.7462981243830207
explosion/spaCy,33823,2014-07-03T15:15:40Z,4426,3603,137,2026-08-07T11:44:36Z,9,Python,5770,5594,0.9694974003466205
halfrost/LeetCode-Go,33797,2017-07-18T00:06:14Z,3316,182,5,2026-08-05T15:34:29Z,11,Go,82,82,1.0
agentscope-ai/QwenPaw,33771,2026-02-24T03:42:56Z,173,2175,107,2026-08-14T09:08:48Z,2,Python,3518,2845,0.8086981239340535
SerenityOS/serenity,33757,2018-12-02T19:28:41Z,2813,20142,0,2026-08-16T01:42:41Z,0,C++,4315,3589,0.8317497103128622
k3s-io/k3s,33737,2018-05-31T01:37:46Z,2999,4823,1000,2026-08-15T18:11:46Z,1,Go,7670,7617,0.9930899608865711
Pythagora-io/gpt-pilot,33697,2023-08-16T11:56:07Z,1095,397,0,2026-06-18T18:38:25Z,59,Python,559,316,0.5652951699463328
mli/paper-reading,33690,2021-10-22T06:34:51Z,1758,15,0,2025-03-22T03:49:35Z,512,Não informado,0,0,
alibaba/easyexcel,33673,2018-02-06T03:14:08Z,3113,190,14,2024-10-29T06:07:07Z,656,Java,3617,3128,0.8648050870887476
anoma/anoma,33672,2021-02-02T10:00:16Z,2020,898,12,2026-06-15T14:56:43Z,62,Elixir,720,630,0.875
Blankj/AndroidUtilCode,33637,2016-07-30T18:18:32Z,3668,88,117,2024-08-15T10:38:10Z,731,Java,1597,1285,0.80463368816531
valinet/ExplorerPatcher,33630,2021-08-09T14:17:24Z,1832,24,300,2026-07-06T12:44:31Z,41,C,2801,2449,0.8743305962156372
K-Dense-AI/scientific-agent-skills,33611,2025-10-19T20:54:15Z,300,76,100,2026-08-16T03:12:09Z,0,Python,77,75,0.974025974025974
bayandin/awesome-awesomeness,33609,2014-07-08T05:44:19Z,4421,197,0,2024-06-02T22:46:41Z,805,Ruby,71,52,0.7323943661971831
shadowsocks/shadowsocks,33560,2012-04-20T13:10:49Z,5230,70,2,2024-04-01T09:07:32Z,867,Python,0,0,
anthropics/claude-plugins-official,33555,2025-11-20T18:36:20Z,268,3133,0,2026-08-16T00:03:47Z,0,Python,1068,173,0.16198501872659177
apache/kafka,33547,2011-08-15T18:06:16Z,5479,13842,0,2026-08-15T12:38:51Z,1,Java,0,0,
binwiederhier/ntfy,33528,2021-10-23T19:25:32Z,1757,421,108,2026-08-11T21:43:48Z,5,Go,1272,950,0.7468553459119497
tinygrad/tinygrad,33452,2020-10-18T16:23:12Z,2127,12308,15,2026-08-16T03:09:37Z,0,Python,1182,1069,0.9043993231810491
XX-net/XX-Net,33451,2015-01-15T09:35:51Z,4230,364,390,2026-06-21T23:53:56Z,56,Python,13367,5445,0.40734645021321164
microsoft/WSL,33412,2016-04-06T17:32:56Z,3783,1414,107,2026-08-15T08:03:04Z,1,C++,12432,11515,0.9262387387387387
AFNetworking/AFNetworking,33409,2011-05-31T21:28:44Z,5555,710,40,2023-01-17T19:30:05Z,1307,Objective-C,0,0,
nicolargo/glances,33376,2011-12-04T08:49:15Z,5368,829,61,2026-08-15T14:45:51Z,1,Python,2218,2123,0.9571686203787195
lutzroeder/netron,33355,2010-12-26T12:53:43Z,5711,1,9,2026-08-15T22:24:33Z,1,JavaScript,1272,1257,0.9882075471698113
